GEOID,year,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed,County,State,stateFIPS,covidCases,covidDeaths,population,state_mean_filing_rate,evictions_greater_state,US_mean_filing_rate,evictions_greater_US,US_covid_cases_rate,US_covid_death_rate,county_covid_cases_rate,county_covid_death_rate,state_covid_cases_rate,state_covid_death_rate,covidCases_greater_state,covidCases_greater_US,covidDeaths_greater_US,covidDeaths_greater_state
1001,2016,9.28,5374,26.08,883,51281,141300,32.8,75.78,18.54,2.61,0.42,0.97,0.01,1.53,0.14,154,116,2.16,2.87,0,0,0,Autauga County,AL,1,42,3,55869,2.365846153846154,1,3.0792546125461255,0,0.003205809677754753,0.057329789912228396,7.517585781023465e-4,0.07142857142857142,0.0018398169223126906,0.02765968475415469,0,0,1,1
1003,2016,9.63,23940,28.48,879,50254,169300,30.3,83.1,9.5,4.5,0.56,0.66,0,1.58,0.1,776,504,2.11,3.24,0,0,0,Baldwin County,AL,1,174,3,223234,2.365846153846154,1,3.0792546125461255,1,0.003205809677754753,0.057329789912228396,7.794511588736483e-4,0.017241379310344827,0.0018398169223126906,0.02765968475415469,0,0,0,0
1005,2016,19.54,3339,36.41,579,32964,92200,30.3,46.24,46.71,4.61,0.19,0.44,0,1.31,0.5,40,21,0.63,1.2,0,0,0,Barbour County,AL,1,39,1,24686,2.365846153846154,0,3.0792546125461255,0,0.003205809677754753,0.057329789912228396,0.0015798428258932188,0.02564102564102564,0.0018398169223126906,0.02765968475415469,0,0,0,0
1007,2016,12.84,2104,24.89,651,38678,102700,26.9,74.5,21.4,2.22,0.41,0.09,0,1.37,0,29,18,0.86,1.38,0,0,0,Bibb County,AL,1,42,0,22394,2.365846153846154,0,3.0792546125461255,0,0.003205809677754753,0.057329789912228396,0.0018755023667053675,0,0.0018398169223126906,0.02765968475415469,1,0,0,0
1009,2016,12.26,4559,21.1,601,45813,119800,26.1,87.85,1.53,8.63,0.31,0.14,0,1.46,0.07,72,47,1.03,1.58,0,0,0,Blount County,AL,1,37,0,57826,2.365846153846154,0,3.0792546125461255,0,0.003205809677754753,0.057329789912228396,6.398505862414831e-4,0,0.0018398169223126906,0.02765968475415469,0,0,0,0
1011,2016,22.72,1220,29.16,570,31938,68600,30.3,22.21,70.71,4.43,1.16,0.21,0,1.28,0,31,11,0.9,2.54,0,0,0,Bullock County,AL,1,13,0,10101,2.365846153846154,1,3.0792546125461255,0,0.003205809677754753,0.057329789912228396,0.001287001287001287,0,0.0018398169223126906,0.02765968475415469,0,0,0,0
1013,2016,20.55,2725,29.94,575,32229,78900,30.9,53.34,43.84,1.18,0.06,0.4,0,1.07,0.11,57,32,1.17,2.09,0,0,0,Butler County,AL,1,53,1,19448,2.365846153846154,0,3.0792546125461255,0,0.003205809677754753,0.057329789912228396,0.002725215960510078,0.018867924528301886,0.0018398169223126906,0.02765968475415469,1,0,0,0
1015,2016,16.49,15268,30.95,637,41703,105900,31.1,73.03,20.32,3.49,0.19,0.86,0.01,2.09,0.02,507,305,2,3.32,0,0,0,Calhoun County,AL,1,93,3,113605,2.365846153846154,1,3.0792546125461255,1,0.003205809677754753,0.057329789912228396,8.186259407596497e-4,0.03225806451612903,0.0018398169223126906,0.02765968475415469,0,0,0,1
1017,2016,17.17,4384,32.41,658,34177,80800,32.3,57.28,40.28,0.45,0.17,0.76,0.03,1.03,0,162,87,1.98,3.7,0,0,0,Chambers County,AL,1,290,21,33254,2.365846153846154,1,3.0792546125461255,1,0.003205809677754753,0.057329789912228396,0.008720755397846875,0.07241379310344828,0.0018398169223126906,0.02765968475415469,1,1,1,1
1019,2016,15.07,2445,22.32,621,36296,105100,30.2,91.72,4.75,1.5,0.55,0.28,0.02,1.18,0,43,33,1.35,1.76,0,0,0,Cherokee County,AL,1,15,0,26196,2.365846153846154,0,3.0792546125461255,0,0.003205809677754753,0.057329789912228396,5.726065048098947e-4,0,0.0018398169223126906,0.02765968475415469,0,0,0,0
